"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Metabolism","Lipid metabolism","hsa00600","Sphingolipid metabolism","21/3495","55/8362",0.381818181818182,0.913523214982442,-0.545231330264137,0.751056449426126,0.955805841090554,0.871772672047306,"6609/64781/8611/57704/8613/410/2717/55512/129807/8877/55304/10825/9514/2629/9331/55331/81537/125981/130367/427/55627",21
"Human Diseases","Infectious disease: bacterial","hsa05152","Tuberculosis","66/3495","167/8362",0.395209580838323,0.945562951350518,-0.602143991063392,0.751432059415473,0.955805841090554,0.871772672047306,"54106/596/1594/8767/1051/2214/4046/2209/3553/7042/5595/3329/3569/817/3588/4802/801/9114/2215/3656/7421/8877/1509/30835/815/3587/3112/843/5602/51561/816/929/10333/51606/572/3654/91860/245972/1520/5869/3606/637/4801/7132/5289/2213/5894/4800/50617/805/5994/3552/808/8915/3115/842/4360/3111/64127/3117/3716/3113/3687/5535/6772/3916",66
"Environmental Information Processing","Signal transduction","hsa04071","Sphingolipid signaling pathway","49/3495","125/8362",0.392,0.937883834048641,-0.592921425005942,0.752215735883871,0.955805841090554,0.871772672047306,"596/10672/5523/6609/5595/5579/2206/624/140/8877/4846/1509/5337/4363/5293/5521/5602/5728/5516/1903/3827/637/55304/5605/5880/7132/2776/23236/5525/7186/5894/3845/2205/5330/81537/5581/9846/8698/5529/8503/125981/130367/5296/5590/427/5332/5879/2770/2534",49
"Human Diseases","Cancer: overview","hsa05202","Transcriptional misregulation in cancer","76/3495","192/8362",0.395833333333333,0.947055317119695,-0.628903433984529,0.758300080457659,0.955805841090554,0.871772672047306,"2118/4233/7102/3576/861/3248/4314/7850/1051/5328/6256/2209/7704/3569/3398/2321/9915/3695/4609/3066/4318/1026/8938/4299/2322/890/597/4094/2521/5747/5079/51274/598/30012/54738/51804/9611/4208/2892/929/3002/6495/653604/4298/860/6258/5327/26039/7490/2313/7113/8354/1668/4211/3087/1647/6929/51513/5468/3195/4149/329/2308/578/2530/1991/6692/4066/5371/3560/7709/7403/126961/85414/55589/3479",76
"Human Diseases","Infectious disease: bacterial","hsa05150","Staphylococcus aureus infection","34/3495","88/8362",0.386363636363636,0.924398491351281,-0.604137881721143,0.761020256157036,0.955805841090554,0.871772672047306,"1675/3872/2214/2357/2209/54474/3683/3426/192666/629/2215/1673/10747/1672/2204/3857/2358/3383/3112/717/3859/25984/1668/2213/3880/712/1828/3115/3868/3075/3111/3117/3113/714",34
"Organismal Systems","Immune system","hsa04623","Cytosolic DNA-sensing pathway","28/3495","73/8362",0.383561643835616,0.917694553863641,-0.598495600420296,0.76243426430598,0.955805841090554,0.871772672047306,"840/5440/3553/6352/3569/51728/9533/3627/10146/197259/115004/171568/51082/8737/10623/3606/10622/55718/10621/11035/84265/661/9560/29800/4792/5441/23586/90865",28
"Organismal Systems","Immune system","hsa04664","Fc epsilon RI signaling pathway","26/3495","68/8362",0.382352941176471,0.914802659261129,-0.5977512718351,0.763486335309278,0.955805841090554,0.871772672047306,"5336/5595/6655/2206/27040/5293/695/5602/7409/6416/5605/5880/5894/3845/5608/2205/4067/5335/9846/123745/2885/8503/5296/255189/5879/2534",26
"Human Diseases","Cancer: specific types","hsa05217","Basal cell carcinoma","24/3495","63/8362",0.380952380952381,0.91145173376933,-0.597804917537442,0.764934309742288,0.955805841090554,0.871772672047306,"650/7472/7474/8323/7482/1026/51176/324/8321/6934/1499/7480/6469/6932/7477/7473/64399/1647/578/7855/80326/7484/83439/2932",24
"Metabolism","Glycan biosynthesis and metabolism","hsa00533","Glycosaminoglycan biosynthesis - keratan sulfate","5/3495","14/8362",0.357142857142857,0.854486000408747,-0.461742238614288,0.765192802994749,0.955805841090554,0.871772672047306,"6483/93010/8704/4166/2530",5
"Organismal Systems","Endocrine system","hsa04915","Estrogen signaling pathway","54/3495","138/8362",0.391304347826087,0.936219443926106,-0.640189169096087,0.765730815873683,0.955805841090554,0.871772672047306,"115/111/596/3872/3326/5595/84699/2852/54474/6655/2100/8648/192666/801/4318/5567/112/4846/1509/109/2099/3857/5293/3859/3312/91860/25984/2775/2550/7039/5605/3320/5241/2776/5580/1956/23236/3880/5894/3845/2353/805/808/5330/4313/2885/3868/9687/8503/7184/5296/113/5332/2770",54
