"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Infectious disease: viral","hsa05161","Hepatitis B","55/3495","154/8362",0.357142857142857,0.854486000408747,-1.54443093882522,0.949057018433168,1,0.912081339712919,"596/3576/1017/1871/1869/2185/7042/5595/7098/84699/3569/6655/5579/4609/4318/1026/9134/890/355/898/5293/843/332/5602/5925/6416/572/3654/2002/5111/7046/637/5605/4089/6775/5894/3845/2353/5608/1870/4088/2885/8503/842/148022/369/5296/4792/3716/23118/7534/356/6772/1642/23586",55
"Metabolism","Glycan biosynthesis and metabolism","hsa00531","Glycosaminoglycan degradation","5/3495","19/8362",0.263157894736842,0.629621263459077,-1.36956848259904,0.949148117919095,1,0.912081339712919,"60495/8692/8372/10855/3423",5
"Human Diseases","Immune disease","hsa05310","Asthma","8/3495","28/8362",0.285714285714286,0.683588800326998,-1.42110492192367,0.949443961912074,1,0.912081339712919,"2206/3112/959/2205/3115/3111/3117/3113",8
"Human Diseases","Infectious disease: parasitic","hsa05140","Leishmaniasis","24/3495","73/8362",0.328767123287671,0.786595331883121,-1.55180198847963,0.954161020981833,1,0.912081339712919,"2214/2209/3553/7042/5595/5579/2215/3112/4689/3654/2002/1917/653361/2353/3552/65108/3115/4792/3111/3117/3716/3113/23118/6772",24
"Human Diseases","Infectious disease: bacterial","hsa05133","Pertussis","25/3495","76/8362",0.328947368421053,0.787026579323846,-1.58045366046071,0.956673349054126,1,0.912081339712919,"3576/840/3553/5595/3569/6372/801/5602/717/6374/51561/929/3654/91860/729238/3678/2353/805/3552/808/712/148022/725/2770/714",25
"Cellular Processes","Cell growth and death","hsa04217","Necroptosis","54/3495","153/8362",0.352941176470588,0.84443322393335,-1.64565755454731,0.959005823309064,1,0.912081339712919,"596/6609/3326/3553/824/7098/57132/817/7188/3146/8743/79643/9525/5478/197259/355/815/92815/1540/192111/5602/27243/816/8795/3014/8737/637/3320/54822/7132/6775/8837/8797/5610/7186/3015/3552/5837/11035/329/123745/292/148022/8878/91782/255189/3716/291/356/6772/10616/100526767/25978/90865",54
"Human Diseases","Substance dependence","hsa05030","Cocaine addiction","15/3495","49/8362",0.306122448979592,0.732416571778926,-1.59184358618473,0.960823737737092,1,0.912081339712919,"111/8787/2906/4128/84699/2904/5567/116443/4129/2902/2354/1020/2903/2891/2770",15
"Human Diseases","Infectious disease: parasitic","hsa05145","Toxoplasmosis","37/3495","109/8362",0.339449541284404,0.812153666443543,-1.67275400297076,0.962875008174678,1,0.912081339712919,"596/10319/284217/7042/5595/3588/5294/598/3587/3112/5602/3312/572/3654/3949/2775/959/7132/3912/5608/3908/3655/3915/23533/329/3115/842/4792/3111/3117/3716/3113/3909/23118/3910/2770/6772",37
"Human Diseases","Infectious disease: bacterial","hsa05131","Shigellosis","90/3495","247/8362",0.364372469635628,0.871783287866414,-1.73328859445807,0.96468840946197,1,0.912081339712919,"596/51196/11335/3576/5333/8767/113026/5336/3553/6352/5595/824/7335/7188/4303/57180/11146/23048/382/9267/10241/8976/199746/81873/5747/83660/598/7336/5293/1398/10318/9252/115004/5602/960/929/87/653604/8737/63916/10095/3606/3678/58528/7132/5580/7334/1956/64121/5289/23236/27128/7314/7316/8354/4735/7186/9564/6233/8915/837/5330/124404/7311/103910/4636/5335/998/2308/51619/5581/3099/7321/8503/25851/3059/8878/5296/4792/10627/8454/1793/5829/126961/5332/23118/7307/5879/10616/2932",90
"Metabolism","Lipid metabolism","hsa00120","Primary bile acid biosynthesis","4/3495","17/8362",0.235294117647059,0.562955482622233,-1.52847730726008,0.966296944654663,1,0.912081339712919,"6342/51302/80270/1593",4
"Metabolism","Lipid metabolism","hsa00591","Linoleic acid metabolism","8/3495","30/8362",0.266666666666667,0.638016213638531,-1.68305048689996,0.971956988546619,1,0.912081339712919,"54979/1576/26279/8399/8398/11145/123745/255189",8
"Metabolism","Glycan biosynthesis and metabolism","hsa00534","Glycosaminoglycan biosynthesis - heparan sulfate / heparin","6/3495","24/8362",0.25,0.598140200286123,-1.67059534735637,0.973088700327708,1,0.912081339712919,"11285/9653/2132/126792/90161/8509",6
"Organismal Systems","Immune system","hsa04620","Toll-like receptor signaling pathway","32/3495","98/8362",0.326530612244898,0.781244343230855,-1.84586189443247,0.975571619166904,1,0.912081339712919,"54106/3576/3553/6352/5595/6696/7098/3569/6373/3627/5293/5602/1513/929/10333/6416/3654/8737/5605/51284/2353/5608/6349/8503/9560/148022/5296/4792/3716/23118/5879/6772",32
"Organismal Systems","Endocrine system","hsa04917","Prolactin signaling pathway","22/3495","71/8362",0.309859154929577,0.741356867960265,-1.85459334122271,0.977384973596563,1,0.912081339712919,"595/9306/5595/6655/2100/2099/5293/2001/5602/5617/8835/5605/5894/3845/2353/8792/2885/8503/30837/5296/6772/2932",22
"Cellular Processes","Transport and catabolism","hsa04140","Autophagy - animal","58/3495","168/8362",0.345238095238095,0.826003133728456,-1.93050137944869,0.9786003838482,1,0.912081339712919,"58476/285973/596/54541/116442/5595/89849/84971/6009/10133/3146/8897/10241/115201/5567/53349/1509/9342/598/5293/1965/140775/5602/5728/572/11337/5516/55578/5605/5563/58528/8673/26003/5580/9842/8837/64121/5289/7314/7316/5894/3845/4077/6233/57724/3091/7311/51100/23710/9711/8503/8878/23339/5296/10645/10652/64419/3916",58
"Organismal Systems","Sensory system","hsa04742","Taste transduction","24/3495","80/8362",0.3,0.717768240343348,-2.14934084832379,0.989285375284247,1,0.912081339712919,"5028/51764/6338/285242/6335/22953/773/5567/112/6328/170572/5137/6340/3352/2550/5030/23236/8645/5330/6337/3359/775/5136/5332",24
"Cellular Processes","Transport and catabolism","hsa04144","Endocytosis","87/3495","249/8362",0.349397590361446,0.835954978713136,-2.22686566130595,0.989558383563487,1,0.912081339712919,"3798/408/3800/57132/57180/79643/9525/55738/2263/382/253725/23096/9744/9267/2350/8976/3799/4734/81873/8027/55616/5337/9372/8853/23327/79720/27243/118813/6455/23362/57403/3312/6642/30011/5156/50807/7046/51324/3949/55737/5869/10095/50855/11031/147179/6456/1785/1956/27128/116988/26119/64744/8395/57154/1212/51100/4088/3107/3579/998/10015/116987/23527/56904/29924/3133/4087/9727/3577/58533/3105/5371/155382/9897/5590/2261/91782/644150/8729/3560/3135/832/3134/377/6643/100526767/25978",87
"Organismal Systems","Aging","hsa04211","Longevity regulating pathway","27/3495","89/8362",0.303370786516854,0.725833052032599,-2.20343689590937,0.990563849992288,1,0.912081339712919,"115/111/814/10891/84699/6009/1978/5567/112/83667/51422/109/5293/9370/5563/10919/3845/5468/2308/8503/847/5296/3643/10645/113/9365/3479",27
"Cellular Processes","Cell growth and death","hsa04216","Ferroptosis","10/3495","41/8362",0.24390243902439,0.583551414913291,-2.26510107854625,0.993748506296454,1,0.912081339712919,"3162/23657/4891/23305/6520/8031/2182/1356/112483/2180",10
"Cellular Processes","Transport and catabolism","hsa04136","Autophagy - other","7/3495","32/8362",0.21875,0.523372675250358,-2.28904037842704,0.994821571966199,1,0.912081339712919,"285973/84971/115201/11337/5516/5289/23710",7
"Organismal Systems","Development and regeneration","hsa04382","Cornified envelope formation","68/3495","206/8362",0.330097087378641,0.789777351834104,-2.58878827433752,0.996432351776859,1,0.912081339712919,"6282/9076/137075/144501/1282/2053/3872/5523/3855/54474/1294/9075/57704/7122/1284/6273/51099/192666/5317/11240/1285/5010/6279/9073/6280/1830/147409/1288/3854/3857/5521/5046/3853/3859/10686/5516/6278/25984/6274/55304/667/2125/6707/5525/4014/3880/1287/6699/1308/1366/9074/2629/9069/3655/1828/1286/5529/3868/23562/5045/286887/149461/57402/5318/79852/5493/3909/242",68
"Metabolism","Metabolism of cofactors and vitamins","hsa00730","Thiamine metabolism","2/3495","15/8362",0.133333333333333,0.319008106819266,-2.23688879124843,0.996514034568567,1,0.912081339712919,"248/52",2
"Human Diseases","Cancer: overview","hsa05206","MicroRNAs in cancer","91/3495","272/8362",0.334558823529412,0.800452326853488,-2.83516858368126,0.998298257681957,1,0.912081339712919,"596/4233/595/6659/54541/1871/1869/27250/5328/7148/5336/7042/5595/3162/8434/672/6541/6655/113130/5579/994/1786/7422/5598/4609/3066/5243/4082/4318/1026/3371/9134/9493/10018/7329/9839/993/4854/5159/324/27165/898/4363/5293/1398/9252/6624/2146/960/1946/5728/4855/10014/5156/7473/3925/5605/1944/4853/5155/3678/4851/3190/1956/5894/3845/406935/90427/1870/125467750/407011/406903/406902/7143/5268/407019/995/5335/578/1789/5581/23405/2885/8503/4325/5296/2064/1029/2261/85414/11186",91
"Genetic Information Processing","Chromosome","hsa03082","ATP-dependent chromatin remodeling","33/3495","115/8362",0.28695652173913,0.686560925545811,-2.86797979749251,0.998748583455175,1,0.912081339712919,"55257/8110/9643/8607/86/6599/404281/54107/3066/55929/84295/92815/6944/8089/6597/1108/3014/79913/8099/6602/8932/26039/3015/9031/64769/9219/10856/54108/8295/605/51377/65980/5931",33
NA,NA,"hsa04519","Cadherin signaling","139/3495","402/8362",0.345771144278607,0.827278485967872,-3.00763380520815,0.998987925193603,1,0.912081339712919,"7004/1001/144501/4233/84962/3872/1501/2185/27253/7472/3855/5595/6788/2909/54474/54798/7474/1951/64072/57180/8323/4641/6327/1009/7482/51474/473/192666/2562/6330/2565/5101/5317/57526/51176/2563/1004/2564/9620/64398/1830/147409/5159/324/23500/1496/10413/27328/7532/1824/3854/81873/8321/51466/5747/5500/6934/4430/51347/3857/55914/4642/3791/1499/55740/5602/1010/5663/222662/3853/7480/3859/124590/375323/64881/87/7409/7003/56122/29119/6932/5156/7477/147138/7473/1825/25984/6331/10095/5605/51421/5880/1952/57575/1956/147798/4640/3880/5894/3845/1012/64405/28513/8463/2566/2570/64403/3071/56126/998/55800/8036/1828/10787/259236/2196/7855/4007/3868/80326/2697/1008/6259/4792/1500/2064/286887/51294/56127/5097/342184/5318/7484/2568/7534/5879/83439/64005/2932",139
"Organismal Systems","Excretory system","hsa04962","Vasopressin-regulated water reabsorption","9/3495","44/8362",0.204545454545455,0.489387436597737,-2.87759986935134,0.999223863059601,1,0.912081339712919,"115/6844/84699/5567/112/109/5869/51143/359",9
"Human Diseases","Substance dependence","hsa05034","Alcoholism","54/3495","183/8362",0.295081967213115,0.706001547878703,-3.4075521672005,0.999806237685643,1,0.912081339712919,"2788/111/8360/2906/814/2792/5595/51764/4128/2030/84699/6655/2904/801/3066/9734/5567/116443/54331/55970/4129/2902/8520/5500/92815/10014/653604/3014/2354/135/91860/2775/4852/440689/2903/8354/5894/3015/55869/3845/805/808/2790/4915/51564/8341/2885/369/10645/8361/126961/2770/2786/2793",54
"Organismal Systems","Immune system","hsa04625","C-type lectin receptor signaling pathway","27/3495","105/8362",0.257142857142857,0.615229920294298,-3.36207060179867,0.999813275185924,1,0.912081339712919,"4046/5336/3553/5595/3569/801/30835/1540/5293/5602/3558/51561/91860/5781/53342/5580/5894/3845/805/808/8915/9020/8503/5296/4792/5535/6772",27
"Human Diseases","Immune disease","hsa05322","Systemic lupus erythematosus","32/3495","129/8362",0.248062015503876,0.593503454547471,-3.9427086460377,0.99998380454714,1,0.912081339712919,"6741/8360/2214/2209/730/2904/2215/6632/733/1511/92815/6628/3112/717/87/653604/3014/440689/2903/959/8354/3015/712/8341/1991/3115/3111/3117/8361/3113/126961/714",32
"Organismal Systems","Immune system","hsa04622","RIG-I-like receptor signaling pathway","11/3495","63/8362",0.174603174603175,0.417748711310943,-3.93088084541481,0.999990965111105,1,0.912081339712919,"3576/3627/54941/1540/843/5602/8737/79671/7186/4792/23586",11
"Organismal Systems","Immune system","hsa04613","Neutrophil extracellular trap formation","48/3495","186/8362",0.258064516129032,0.617435045456643,-4.4710882563646,0.99999851572271,1,0.912081339712919,"8360/366/2214/2357/2209/5336/5595/3683/3146/5579/3066/2215/9734/2811/1511/8520/92815/2358/5293/10014/4689/653604/3014/1184/5605/440689/5880/51284/23236/8354/653361/5894/3015/55869/837/5330/5335/51564/8341/1991/292/8503/5296/8361/126961/5332/291/5879",48
"Organismal Systems","Sensory system","hsa04740","Olfactory transduction","31/3495","229/8362",0.135371179039301,0.323883776574145,-8.79094859692789,1,1,0.912081339712919,"2788/5593/1258/6547/408/51764/817/390264/801/5567/5138/390261/109/815/390201/123041/816/5137/283159/2774/91860/1261/219874/805/808/390072/143503/26219/5136/7932/343171",31
